Title,Rating
Moi César, 10 ans 1/2, 1,39 m, 3.0
Tour De France, 2.5
Independence Day, 3.0
Rogue One: A Star Wars Story, 4.0
White House Down, 3.0
2012, 2.0
Taken 3, 3.0
Un Français, 3.5
Incendies, 4.0
Polytechnique, 3.0
Sicario, 3.5
La Crème de la Crème, 3.0
Elysium, 3.0
Chappie, 3.5
Insaisissables, 3.0
Fast and Furious 5, 3.5
Le Choc des Titans, 2.0
L'Incroyable Hulk, 2.0
De l'autre côté du périph, 3.0
Loin du périph, 1.5
L'Outsider, 3.5
Médecin de nuit, 3.5
Le Manoir, 1.0
Omar la fraise, 3.0
Pas très normales activités, 1.0
Greenland - Le dernier refuge, 3.0
Edge Of Tomorrow, 4.0
Tenet, 3.5
3 Days to Kill, 2.0
Looking for Eric, 3.5
Misanthrope, 3.5
Willy 1er, 3.0
Les Rois de l’arnaque, 3.5
La Tour, 2.5
Matrix, 4.0
Snowpiercer, Le Transperceneige, 4.0
Slumdog Millionaire, 4.0
127 heures, 4.0
La Plage, 4.0
Trance, 3.5
Sunshine, 3.5
Coexister, 2.5
The Amazing Spider-Man, 3.5
Very Bad Trip, 3.5
The Bad Batch, 3.0
Django Unchained, 4.5
Bienvenue à Marly-Gomont, 3.5
La Plateforme, 3.5
Babysitting, 3.5
Karaté Kid, 3.5
Arrête-moi si tu peux, 4.0
Balle perdue 2, 3.0
Blade Runner 2049, 4.0
Don’t Look Up: Déni cosmique, 3.5
La Vie scolaire, 4.0
Spider-Man, 4.0
Pulp Fiction, 3.5
K.O., 3.5
20 ans d'écart, 3.5
Brooklyn Affairs, 3.0
Scream VI, 3.0
Les Trois Mousquetaires: D'Artagnan, 3.5
Raging Bull, 3.0
La Rage au ventre, 3.5
Je verrai toujours vos visages, 3.5
Les Frères Sisters, 3.5
Démineurs, 4.0
Assassin's Creed, 2.0
Creed III, 3.5
Super Mario Bros, le film, 3.5
Haute tension, 3.0
Crawl, 2.5
Oxygène, 3.5
La Colline a des yeux, 3.5
Birdman, 4.0
Biutiful, 4.0
Babel, 4.0
John Wick : Chapitre 4, 3.0
Dragonball Evolution, 1.5
La Planète des singes : les origines, 3.5
Alien: Covenant, 3.0
Pearl Harbor, 4.0
Phénomènes, 3.0
Alita : Battle Angel, 2.5
Glass, 3.0
Kingsman : Services secrets, 4.0
La Vie rêvée de Walter Mitty, 3.0
Noé, 2.5
Ratatouille, 4.0
Maman, j'ai raté l'avion, 3.0
Les Gardiens de la Galaxie, 4.0
Spider-Man : New Generation, 4.5
Patients, 4.0
Avengers, 3.5
Venom, 3.0
The Revenant, 3.0
Le Prénom, 4.0
Little Miss Sunshine, 4.0
Le Labyrinthe, 3.5
Avengers: Endgame, 3.0
Cars, 4.0
La Forme de l'eau - The Shape of Water, 3.0
The Grand Budapest Hotel, 3.0
Ant-Man, 3.5
Iron Man 3, 3.5
Black Swan, 2.5
Black Panther, 4.0
Deadpool, 4.0
Wall-E, 4.5
Prey, 4.0
Logan, 4.0
The French Dispatch, 3.0
Nomadland, 3.5
Creed - L'Héritage de Rocky Balboa, 4.0
Creed II, 3.5
Goutte d'or, 2.5
Les Misérables, 4.0
Le Monde est à toi, 3.5
Athena, 3.5
The Voices, 3.0
Prometheus, 3.0
Batman v Superman : L’Aube de la Justice, 3.5
Batman Begins, 3.5
The Dark Knight Rises, 4.0
Les Brasiers de la Colère, 3.5
Le Mans 66, 4.0
The Machinist, 4.0
Balle perdue, 3.0
Spirale : L'Héritage de Saw, 2.5
Possessor, 3.5
Abyss, 3.5
300, 4.0
Gone Girl, 4.0
Inception, 4.5
Apocalypse Now Final Cut, 4.0
Shutter Island, 3.5
Usual Suspects, 3.5
Fight Club, 4.0
Whiplash, 4.0
After Earth, 2.0
Seul sur Mars, 3.5
Ad Astra, 3.5
Les Fils de l'homme, 4.5
Gravity, 4.5
Prédictions, 3.0
Chronicle, 3.5
[REC], 3.5
La Planète des singes : l'affrontement, 3.5
10 Cloverfield Lane, 3.5
Cloverfield, 4.5
Fast & Furious 7, 3.0
Taken 2, 2.5
Fast & Furious 8, 2.0
Avengers: Infinity War, 3.0
Je suis une légende, 3.5
John Wick Parabellum, 3.0
John Wick 2, 3.5
John Wick, 3.5
District 9, 4.0
Zodiac, 4.0
Bienvenue à Gattaca, 4.0
Source Code, 4.0
Night Call, 4.0
Le Voyage au Groenland, 3.0
Sans identité, 3.0
The Passenger, 3.0
Non-Stop, 3.0
Mourir peut attendre, 3.5
L'Auberge Espagnole, 4.0
Zero Dark Thirty, 3.5
The Descent, 3.5
La Haine, 4.0
Le Labyrinthe de Pan, 3.5
L'Etrange histoire de Benjamin Button, 4.0
Scream, 3.0
Flight, 4.0
Matrix Resurrections, 3.5
Premier Contact, 4.0
The King's Man : Première Mission, 2.0
Drive, 4.5
Spider-Man: No Way Home, 3.5
Doctor Strange in the Multiverse of Madness, 2.0
The Batman, 4.0
Decision To Leave, 3.5
Les Survivants, 3.0
Malavita, 3.0
Lucy, 3.5
Night Fare, 2.5
Hostile, 2.0
Méandre, 2.5
Le Dernier voyage, 2.5
Everest, 2.5
American Sniper, 3.5
Fury, 4.0
Tu ne tueras point, 3.5
Tirailleurs, 3.5
Compliance, 3.0
Samba, 3.0
Merci Patron!, 4.0
O.J.: Made in America, 4.0
A voix haute - La force de la parole, 3.0
Blackfish, 4.0
Grand Central, 3.0
Forces spéciales, 2.5
Capitaine Phillips, 3.5
Five, 3.5
Burn Out, 3.5
Le Chant du Loup, 4.0
The Strangers, 3.5
Ghostland, 3.0
Us, 3.5
It Follows, 3.5
Hérédité, 3.5
Midsommar, 4.0
Her, 4.0
High Life, 2.0
Wrong, 3.0
Projet Almanac, 3.0
Ninja Turtles, 3.0
Transformers: The Last Knight, 2.0
Sans un bruit, 3.5
American Nightmare 5 : Sans limites, 2.0
Climax, 3.0
Love, 3.0
Star Wars - Les Derniers Jedi, 3.5
Looper, 4.0
The Jane Doe Identity, 3.0
Le Secret des Marrowbone, 3.5
Don't Breathe - La maison des ténèbres, 3.5
Sinister, 3.5
Black Phone, 3.5
Star Wars - Le Réveil de la Force, 3.5
