"Title","Rating"
"The Van","3.0"
"2 Minutes","3.5"
"À la mode","3.5"
"La Révolution des crabes","3.5"
"Black Phone","2.5"
"Mon Crime","3.5"
"The Whale","3.0"
"Drive","3.0"
"Bruno Reidal, confession d'un meurtrier","3.5"
"The Fabelmans","3.5"
"L'Astronaute","3.5"
"Fight Club","4.0"
"Astérix et Obélix : L'Empire du milieu","2.0"
"Icare","3.0"
"Dragon Rouge","3.0"
"Ant-Man et la Guêpe : Quantumania","2.0"
"The Social Network","3.5"
"Titanic","4.0"
"Minority Report","3.5"
"Ernest et Célestine : le voyage en Charabie","2.5"
"Joker","3.5"
"Knock at the Cabin","2.5"
"A l'Ouest, rien de nouveau","3.0"
"Les Banshees d'Inisherin","3.0"
"Vivre","3.0"
"Prey","2.5"
"Pirates des Caraïbes : la Vengeance de Salazar","2.5"
"Boîte noire","3.5"
"C'est magnifique !","2.5"
"Tu ne tueras point","3.0"
"Speed","2.5"
"Detective Conan : La Fiancée de Shibuya","2.5"
"Krypto et les Super-Animaux","1.5"
"Tic et Tac, les Rangers du risque : le film","2.0"
"La Méthode Williams","3.0"
"Ça","2.5"
"Tick, Tick…Boom!","2.0"
"Entre la vie et la mort","2.0"
"La Chèvre","3.0"
"Le Visiteur du futur","2.5"
"Fury","2.5"
"Là où chantent les écrevisses","2.0"
"Doctor Strange in the Multiverse of Madness","2.0"
"Les Folies fermières","2.0"
"Léon","3.0"
"Le Parrain, 2e partie","3.0"
"Rogue One: A Star Wars Story","2.5"
"Adieu Monsieur Haffmann","2.5"
"Jack Mimoun et les secrets de Val Verde","1.5"
"Seven","3.0"
"Le Chat Potté 2 : la dernière quête","2.5"
"Rambo","3.0"
"Couleurs de l'incendie","3.0"
"Sans un bruit","2.5"
"Dilili à Paris","3.0"
"Qui veut la peau de Roger Rabbit ?","2.0"
"Les Minions 2 : Il était une fois Gru","2.0"
"Soul","3.0"
"Les Bad Guys","2.5"
"Babylon","4.5"
"Snatch","3.5"
"Equalizer","3.0"
"La Ruse","2.0"
"Pinocchio par Guillermo del Toro","3.0"
"Le Jour des Corneilles","3.5"
"Le Dernier duel","3.5"
"The Northman","4.0"
"Drunk","3.0"
"Le Château ambulant","3.5"
"Ténor","3.0"
"Au Revoir Là-haut","3.5"
"Tenet","3.5"
"L'Innocent","3.5"
"Black Adam","2.0"
"Le Pharaon, le Sauvage et la princesse","2.5"
"Illusions Perdues","4.5"
"Les Mitchell contre les machines","2.5"
"Vesper Chronicles","1.5"
"Novembre","2.5"
"Sans filtre","3.5"
"Revoir Paris","2.5"
"Le Parrain","4.0"
"Avatar","3.0"
